price,day,hour,minute,second,dayofweek
6.24146,11,0,0,1,4
6.2421,11,0,0,4,4
6.24249,11,0,0,4,4
6.24273,11,0,0,4,4
6.24292,11,0,0,4,4
6.24292,11,0,0,4,4
6.24244,11,0,0,5,4
6.24234,11,0,0,5,4
6.24231,11,0,0,5,4
6.24248,11,0,0,5,4
6.24264,11,0,0,5,4
6.24277,11,0,0,5,4
6.24304,11,0,0,6,4
6.24288,11,0,0,6,4
6.24286,11,0,0,6,4
6.24295,11,0,0,9,4
6.24295,11,0,0,10,4
6.243,11,0,0,10,4
6.24289,11,0,0,10,4
6.24288,11,0,0,13,4
6.24315,11,0,0,13,4
6.24334,11,0,0,13,4
6.24336,11,0,0,13,4
6.2433,11,0,0,13,4
6.24325,11,0,0,13,4
6.24396,11,0,0,14,4
6.24475,11,0,0,14,4
6.24509,11,0,0,14,4
6.24533,11,0,0,15,4
6.24547,11,0,0,17,4
6.24555,11,0,0,18,4
6.24565,11,0,0,19,4
6.24573,11,0,0,22,4
6.24584,11,0,0,24,4
6.2459,11,0,0,26,4
6.24591,11,0,0,27,4
6.24596,11,0,0,34,4
6.24596,11,0,0,36,4
6.24589,11,0,0,40,4
6.24564,11,0,0,41,4
6.24562,11,0,0,41,4
6.24558,11,0,0,41,4
6.24527,11,0,0,46,4
6.2451,11,0,0,48,4
6.24481,11,0,0,48,4
6.24442,11,0,0,49,4
6.24412,11,0,0,49,4
6.24365,11,0,0,50,4
6.24324,11,0,0,50,4
6.2429,11,0,0,50,4
6.24269,11,0,0,51,4
6.24239,11,0,0,51,4
6.24197,11,0,0,51,4
6.24159,11,0,0,51,4
6.2411,11,0,0,51,4
6.24072,11,0,0,57,4
6.24066,11,0,1,4,4
6.24069,11,0,1,5,4
6.2406,11,0,1,5,4
6.2405,11,0,1,5,4
6.2405,11,0,1,5,4
6.24043,11,0,1,5,4
6.24049,11,0,1,5,4
6.24071,11,0,1,6,4
6.24093,11,0,1,6,4
6.24085,11,0,1,6,4
6.2407,11,0,1,6,4
6.24069,11,0,1,6,4
6.24072,11,0,1,6,4
6.24081,11,0,1,6,4
6.24086,11,0,1,6,4
6.24088,11,0,1,7,4
6.24082,11,0,1,7,4
6.24069,11,0,1,7,4
6.24063,11,0,1,7,4
6.24063,11,0,1,8,4
6.24085,11,0,1,8,4
6.24098,11,0,1,8,4
6.24097,11,0,1,10,4
6.24104,11,0,1,16,4
6.24108,11,0,1,17,4
6.24112,11,0,1,19,4
6.24103,11,0,1,22,4
6.24091,11,0,1,23,4
6.24086,11,0,1,27,4
6.2408,11,0,1,30,4
6.24074,11,0,1,32,4
6.24068,11,0,1,32,4
6.24062,11,0,1,32,4
6.24053,11,0,1,33,4
6.24046,11,0,1,33,4
6.24043,11,0,1,37,4
6.24043,11,0,1,46,4
6.24043,11,0,1,52,4
6.24045,11,0,1,52,4
6.24049,11,0,2,1,4
6.2405,11,0,3,4,4
6.24052,11,0,3,4,4
6.24053,11,0,3,7,4
