price,day,hour,minute,second,dayofweek
6.0654,2,0,0,1,2
6.06192,2,0,0,2,2
6.06032,2,0,0,2,2
6.05884,2,0,0,3,2
6.05804,2,0,0,3,2
6.05766,2,0,0,3,2
6.05742,2,0,0,4,2
6.05714,2,0,0,4,2
6.05697,2,0,0,4,2
6.05694,2,0,0,4,2
6.0685,31,21,0,57,0
6.05692,2,0,0,5,2
6.0569,2,0,0,5,2
6.05693,2,0,0,5,2
6.05704,2,0,0,5,2
6.05706,2,0,0,5,2
6.0571,2,0,0,5,2
6.05728,2,0,0,5,2
6.05743,2,0,0,5,2
6.05736,2,0,0,6,2
6.05708,2,0,0,6,2
6.057,2,0,0,6,2
6.05712,2,0,0,6,2
6.05693,2,0,0,6,2
6.05671,2,0,0,6,2
6.0571,2,0,0,6,2
6.0573,2,0,0,7,2
6.0573,2,0,0,7,2
6.05734,2,0,0,7,2
6.05723,2,0,0,7,2
6.05705,2,0,0,7,2
6.05697,2,0,0,7,2
6.05719,2,0,0,7,2
6.05726,2,0,0,8,2
6.05724,2,0,0,8,2
6.05732,2,0,0,8,2
6.05718,2,0,0,8,2
6.0571,2,0,0,8,2
6.05716,2,0,0,8,2
6.05728,2,0,0,8,2
6.0571,2,0,0,8,2
6.0569,2,0,0,9,2
6.05703,2,0,0,9,2
6.05722,2,0,0,9,2
6.05724,2,0,0,9,2
6.05736,2,0,0,10,2
6.05743,2,0,0,10,2
6.05742,2,0,0,10,2
6.05752,2,0,0,10,2
6.05758,2,0,0,10,2
6.05743,2,0,0,10,2
6.05714,2,0,0,10,2
6.05712,2,0,0,11,2
6.05731,2,0,0,11,2
6.05722,2,0,0,11,2
6.05694,2,0,0,11,2
6.05681,2,0,0,11,2
6.05684,2,0,0,11,2
6.05684,2,0,0,11,2
6.05682,2,0,0,12,2
6.05676,2,0,0,12,2
6.05672,2,0,0,12,2
6.05683,2,0,0,12,2
6.05682,2,0,0,12,2
6.05682,2,0,0,12,2
6.05742,2,0,0,12,2
6.05795,2,0,0,12,2
6.05832,2,0,0,13,2
6.05884,2,0,0,13,2
6.05928,2,0,0,13,2
6.05955,2,0,0,13,2
6.05973,2,0,0,13,2
6.0597,2,0,0,13,2
6.0595,2,0,0,13,2
6.05945,2,0,0,14,2
6.05956,2,0,0,14,2
6.05967,2,0,0,14,2
6.05959,2,0,0,14,2
6.0596,2,0,0,15,2
6.05971,2,0,0,15,2
6.05976,2,0,0,15,2
6.05964,2,0,0,15,2
6.05959,2,0,0,15,2
6.0596,2,0,0,15,2
6.05968,2,0,0,15,2
6.05973,2,0,0,16,2
6.05973,2,0,0,16,2
6.05963,2,0,0,16,2
6.05961,2,0,0,16,2
6.05972,2,0,0,16,2
6.05973,2,0,0,16,2
6.05976,2,0,0,17,2
6.05974,2,0,0,17,2
6.05974,2,0,0,17,2
6.05968,2,0,0,17,2
6.05963,2,0,0,17,2
6.05973,2,0,0,18,2
6.05977,2,0,0,18,2
6.05979,2,0,0,18,2
